0.938183	2.33	-0.356505	
0.936853	2.34	-0.360374	
0.935174	2.35	-0.365098	
0.933134	2.36	-0.370669	
0.930721	2.37	-0.377077	
0.927925	2.38	-0.384313	
0.924732	2.39	-0.392365	
0.921129	2.4	-0.401223	
0.917102	2.41	-0.410873	
0.912633	2.42	-0.421301	
0.907704	2.43	-0.432489	
0.902291	2.44	-0.444417	
0.89637	2.45	-0.457064	
0.889912	2.46	-0.470404	
0.882885	2.47	-0.484408	
0.875256	2.48	-0.499043	
0.86699	2.49	-0.514275	
0.858049	2.5	-0.530065	
0.848399	2.51	-0.546372	
0.838004	2.52	-0.563152	
0.82683	2.53	-0.580359	
0.814847	2.54	-0.597946	
0.802027	2.55	-0.615865	
0.788345	2.56	-0.634064	
0.773782	2.57	-0.652493	
0.758319	2.58	-0.671101	
0.741943	2.59	-0.689834	
0.724643	2.6	-0.708638	
0.706411	2.61	-0.727457	
0.687242	2.62	-0.746234	
0.667132	2.63	-0.764908	
0.646081	2.64	-0.783418	
0.62409	2.65	-0.801698	
0.601164	2.66	-0.819681	
0.57731	2.67	-0.837298	
0.552538	2.68	-0.854479	
0.526864	2.69	-0.871151	
0.500308	2.7	-0.887244	
0.472894	2.71	-0.902688	
0.444652	2.72	-0.917414	
0.415619	2.73	-0.931358	
0.385834	2.74	-0.944459	
0.355346	2.75	-0.956664	
0.324205	2.76	-0.967921	
0.292468	2.77	-0.978189	
0.260195	2.78	-0.987428	
0.227449	2.79	-0.995607	
0.194296	2.8	-1.0027	
0.160804	2.81	-1.00868	
0.127043	2.82	-1.01354	
0.093082	2.83	-1.01726	
0.0589937	2.84	-1.01984	
0.0248494	2.85	-1.02126	
-0.00927903	2.86	-1.02152	
-0.0433196	2.87	-1.02063	
-0.0772009	2.88	-1.01859	
-0.110852	2.89	-1.01541	
-0.144204	2.9	-1.01111	
-0.177188	2.91	-1.00571	
-0.209739	2.92	-0.99923	
-0.241795	2.93	-0.991711	
-0.273295	2.94	-0.983192	
-0.304186	2.95	-0.97372	
-0.334415	2.96	-0.963347	
-0.363938	2.97	-0.952132	
-0.392714	2.98	-0.940137	
-0.420707	2.99	-0.927426	
-0.447885	3	-0.914068	
-0.474223	3.01	-0.90013	
-0.499699	3.02	-0.885681	
-0.524294	3.03	-0.870788	
-0.547993	3.04	-0.855517	
-0.570785	3.05	-0.839932	
-0.59266	3.06	-0.824095	
-0.613614	3.07	-0.808066	
-0.633642	3.08	-0.791904	
-0.652744	3.09	-0.775665	
-0.670923	3.1	-0.759405	
-0.688185	3.11	-0.743179	
-0.70454	3.12	-0.72704	
-0.72	3.13	-0.711043	
-0.734583	3.14	-0.69524	
-0.748309	3.15	-0.679683	
-0.761202	3.16	-0.664423	
-0.773288	3.17	-0.64951	
-0.784595	3.18	-0.634991	
-0.795154	3.19	-0.620912	
-0.804995	3.2	-0.607314	
-0.814148	3.21	-0.594238	
-0.822642	3.22	-0.581718	
-0.830504	3.23	-0.569787	
-0.837761	3.24	-0.558473	
-0.844435	3.25	-0.5478	
-0.850547	3.26	-0.537791	
-0.856114	3.27	-0.528464	
-0.861154	3.28	-0.519834	
-0.86568	3.29	-0.511916	
-0.869707	3.3	-0.504721	
-0.873246	3.31	-0.498261	
-0.876311	3.32	-0.492544	
-0.878913	3.33	-0.487581	
-0.881064	3.34	-0.483379	
-0.882779	3.35	-0.479945	
-0.884067	3.36	-0.477287	
-0.884943	3.37	-0.47541	
-0.885416	3.38	-0.47432	
-0.885495	3.39	-0.47402	
-0.885189	3.4	-0.474511	
-0.8845	3.41	-0.475795	
-0.88343	3.42	-0.477868	
-0.881977	3.43	-0.480727	
-0.880134	3.44	-0.484364	
-0.877891	3.45	-0.488769	
-0.875236	3.46	-0.493932	
-0.872152	3.47	-0.499837	
-0.868622	3.48	-0.50647	
-0.864625	3.49	-0.51381	
-0.860141	3.5	-0.52184	
-0.855149	3.51	-0.530538	
-0.849628	3.52	-0.539882	
-0.843558	3.53	-0.54985	
-0.83692	3.54	-0.560418	
-0.829696	3.55	-0.571561	
-0.821869	3.56	-0.583255	
-0.813423	3.57	-0.595473	
-0.804343	3.58	-0.608187	
-0.794613	3.59	-0.62137	
-0.784216	3.6	-0.634987	
-0.773138	3.61	-0.649007	
-0.761361	3.62	-0.663391	
-0.748868	3.63	-0.6781	
-0.735641	3.64	-0.69309	
-0.721662	3.65	-0.708315	
-0.706914	3.66	-0.723726	
-0.691381	3.67	-0.739269	
-0.675048	3.68	-0.754891	
-0.657903	3.69	-0.770535	
-0.639937	3.7	-0.786144	
-0.621146	3.71	-0.801662	
-0.601527	3.72	-0.817031	
-0.581085	3.73	-0.832195	
-0.559828	3.74	-0.847101	
-0.537767	3.75	-0.861694	
-0.514919	3.76	-0.875924	
-0.491304	3.77	-0.889742	
-0.466946	3.78	-0.903099	
-0.441873	3.79	-0.91595	
-0.416114	3.8	-0.928248	
-0.389703	3.81	-0.939948	
-0.362674	3.82	-0.951007	
-0.335066	3.83	-0.961381	
-0.306919	3.84	-0.971026	
-0.278275	3.85	-0.979901	
-0.24918	3.86	-0.987967	
-0.219682	3.87	-0.995184	
-0.189831	3.88	-1.00152	
-0.15968	3.89	-1.00694	
-0.129284	3.9	-1.01143	
-0.0987005	3.91	-1.01496	
-0.0679872	3.92	-1.01752	
-0.0372037	3.93	-1.0191	
-0.00640969	3.94	-1.0197	
0.0243351	3.95	-1.01933	
0.0549716	3.96	-1.01801	
0.085442	3.97	-1.01574	
0.11569	3.98	-1.01255	
0.14566	3.99	-1.00847	
0.175301	4	-1.00352	
0.20456	4.01	-0.997746	
0.23339	4.02	-0.991169	
0.261745	4.03	-0.983828	
0.28958	4.04	-0.975759	
0.316853	4.05	-0.966998	
0.343525	4.06	-0.957586	
0.369559	4.07	-0.947561	
0.394922	4.08	-0.936967	
0.419583	4.09	-0.925847	
0.443516	4.1	-0.914249	
0.466697	4.11	-0.902222	
0.489109	4.12	-0.889819	
0.510736	4.13	-0.877092	
0.531569	4.14	-0.864099	
0.551601	4.15	-0.850897	
0.570831	4.16	-0.837543	
0.589259	4.17	-0.824094	
0.60689	4.18	-0.810607	
0.623732	4.19	-0.797137	
0.639792	4.2	-0.783736	
0.65508	4.21	-0.770454	
0.669607	4.22	-0.757337	
0.683384	4.23	-0.744429	
0.696422	4.24	-0.73177	
0.708732	4.25	-0.719398	
0.720327	4.26	-0.707346	
0.731218	4.27	-0.695649	
0.741418	4.28	-0.684335	
0.750939	4.29	-0.673435	
0.759797	4.3	-0.662977	
0.768007	4.31	-0.652988	
0.775586	4.32	-0.643495	
0.782553	4.33	-0.634523	
0.788926	4.34	-0.626097	
0.794725	4.35	-0.61824	
0.799971	4.36	-0.610976	
0.804683	4.37	-0.604324	
0.808879	4.38	-0.598304	
0.812577	4.39	-0.592931	
0.815791	4.4	-0.588219	
0.818534	4.41	-0.58418	
0.820815	4.42	-0.580821	
0.822642	4.43	-0.578148	
0.824017	4.44	-0.576164	
0.824941	4.45	-0.574869	
0.825415	4.46	-0.574261	
0.825435	4.47	-0.574338	
0.824997	4.48	-0.575094	
0.824097	4.49	-0.576524	
0.822729	4.5	-0.57862	
0.820888	4.51	-0.581375	
0.818569	4.52	-0.584782	
0.815769	4.53	-0.588833	
0.812481	4.54	-0.593518	
0.808703	4.55	-0.598828	
0.804428	4.56	-0.604753	
0.799652	4.57	-0.61128	
0.794368	4.58	-0.618397	
0.788567	4.59	-0.626087	
0.782239	4.6	-0.634331	
0.775373	4.61	-0.643111	
0.767954	4.62	-0.652401	
0.759967	4.63	-0.662176	
0.751396	4.64	-0.672406	
0.742222	4.65	-0.683059	
0.732429	4.66	-0.694101	
0.721998	4.67	-0.705496	
0.710912	4.68	-0.717207	
0.699157	4.69	-0.729195	
0.68672	4.7	-0.741421	
0.67359	4.71	-0.753845	
0.659758	4.72	-0.766427	
0.645219	4.73	-0.779129	
0.62997	4.74	-0.791912	
0.614012	4.75	-0.804736	
0.597344	4.76	-0.817561	
0.579972	4.77	-0.83035	
0.561901	4.78	-0.843059	
0.543138	4.79	-0.855649	
0.523692	4.8	-0.868076	
0.503573	4.81	-0.880297	
0.482792	4.82	-0.892264	
0.461364	4.83	-0.903933	
0.439305	4.84	-0.915255	
0.416632	4.85	-0.926182	
0.393367	4.86	-0.936668	
0.369533	4.87	-0.946666	
